Y1-1 Y10 Y11 Y2-2 Y2-1 Y20 Y21 Y22
0.010534 -0.0051044 0.0022017 0.018755 -0.039781 0.0060674 -0.012957 0.0014897
0.016063 -0.0087364 0.004332 0.035576 -0.064939 0.011371 -0.028752 0.0049904
0.025687 -0.016097 0.0095455 0.073272 -0.11019 0.022903 -0.072046 0.01683
0.041432 -0.030849 0.02316 0.15579 -0.17987 0.046198 -0.19858 0.058846
0.064701 -0.057947 0.061887 0.30418 -0.23123 0.07293 -0.56748 0.21823
0.084436 -0.07698 0.15853 0.3106 -0.08644 -0.03421 -1.1369 0.7415
0.084352 -0.00019009 0.24252 0.027914 0.00084339 -0.2697 -0.0044773 1.2852
0.084436 0.07698 0.15853 0.3106 0.08644 -0.03421 1.1369 0.7415
0.064701 0.057947 0.061887 0.30418 0.23123 0.07293 0.56748 0.21823
0.041432 0.030849 0.02316 0.15579 0.17987 0.046198 0.19858 0.058846
0.025687 0.016097 0.0095455 0.073272 0.11019 0.022903 0.072046 0.01683
0.016063 0.0087364 0.004332 0.035576 0.064939 0.011371 0.028752 0.0049904
0.010534 0.0051044 0.0022017 0.018755 0.039781 0.0060674 0.012957 0.0014897
0.010534 -0.0051044 -0.0022017 -0.018755 -0.039781 0.0060674 0.012957 0.0014897
0.016063 -0.0087364 -0.004332 -0.035576 -0.064939 0.011371 0.028752 0.0049904
0.025687 -0.016097 -0.0095455 -0.073272 -0.11019 0.022903 0.072046 0.01683
0.041432 -0.030849 -0.02316 -0.15579 -0.17987 0.046198 0.19858 0.058846
0.064701 -0.057947 -0.061887 -0.30418 -0.23123 0.07293 0.56748 0.21823
0.084436 -0.07698 -0.15853 -0.3106 -0.08644 -0.03421 1.1369 0.7415
0.084352 -0.00019009 -0.24252 -0.027914 0.00084339 -0.2697 0.0044773 1.2852
0.084436 0.07698 -0.15853 -0.3106 0.08644 -0.03421 -1.1369 0.7415
0.064701 0.057947 -0.061887 -0.30418 0.23123 0.07293 -0.56748 0.21823
0.041432 0.030849 -0.02316 -0.15579 0.17987 0.046198 -0.19858 0.058846
0.025687 0.016097 -0.0095455 -0.073272 0.11019 0.022903 -0.072046 0.01683
0.016063 0.0087364 -0.004332 -0.035576 0.064939 0.011371 -0.028752 0.0049904
0.010534 0.0051044 -0.0022017 -0.018755 0.039781 0.0060674 -0.012957 0.0014897
-2.7125 -0.0011194 9.836e-05 -0.0011228 -0.0089174 0.033961 0.017395 -14.665
