Y1-1 Y10 Y11 Y2-2 Y2-1 Y20 Y21 Y22
1.0011 0.35729 -0.032349 0.032374 -0.17997 -0.54701 -0.0019367 -0.18574
1.2691 0.55387 -0.060205 0.061016 -0.2863 -0.6727 -0.0043137 -0.23531
1.3792 0.84744 -0.11932 0.12407 -0.46232 -0.67142 -0.010838 -0.25526
0.55244 1.0528 -0.2321 0.25638 -0.67082 -0.059227 -0.029916 -0.10066
-2.6931 0.034963 -0.32692 0.45714 -0.52839 1.9805 -0.085504 0.50384
-4.9764 -3.962 0.38979 0.21769 0.80802 2.7204 -0.17105 0.92662
0.30744 -0.0044691 1.7712 -0.5781 0.0011551 -1.6604 -6.9079e-05 -0.059412
-4.962 3.9673 0.39522 0.21592 -0.80983 2.7066 0.17135 0.92472
-2.7006 -0.045897 -0.32421 0.45626 0.53145 1.9859 0.0854 0.50481
0.54213 -1.0573 -0.23115 0.25607 0.67167 -0.050959 0.02989 -0.099321
1.372 -0.84822 -0.11898 0.12396 0.46206 -0.66555 0.01086 -0.25433
1.2647 -0.55344 -0.060068 0.060971 0.28579 -0.66902 0.0043454 -0.23472
0.9983 -0.35661 -0.032287 0.032354 0.17949 -0.54468 0.0019656 -0.18537
1.0013 0.3573 0.032417 -0.03242 -0.17997 -0.54706 0.0019843 -0.18576
1.2695 0.55387 0.0603 -0.061081 -0.2863 -0.67281 0.0043802 -0.23535
1.3799 0.84744 0.11945 -0.12416 -0.46232 -0.67167 0.010929 -0.25536
0.55427 1.0528 0.23225 -0.25648 -0.67082 -0.059844 0.030022 -0.10089
-2.6886 0.034965 0.32703 -0.45721 -0.52839 1.979 0.085578 0.50328
-4.9694 -3.962 -0.38976 -0.21772 0.80802 2.718 0.17107 0.92576
0.30565 -0.0044701 -1.7711 0.578 0.0011553 -1.6598 0.0001645 -0.059189
-4.9681 3.9673 -0.39519 -0.21594 -0.80983 2.7087 -0.17132 0.92547
-2.7027 -0.045898 0.32432 -0.45633 0.53145 1.9866 -0.085325 0.50506
0.54167 -1.0573 0.2313 -0.25617 0.67167 -0.050805 -0.029784 -0.099264
1.3719 -0.84822 0.11911 -0.12404 0.46206 -0.66552 -0.010769 -0.25432
1.2647 -0.55344 0.060163 -0.061036 0.28579 -0.66902 -0.004279 -0.23472
0.99831 -0.35661 0.032355 -0.0324 0.17949 -0.54469 -0.001918 -0.18537
-1.0945 -0.00061509 2.0144e-05 -1.3803e-05 0.00011639 0.37075 1.4157e-05 0.13547
